Date,Price_abev3,Price_bbdc3,Price_itub3,Price_itsa3,Price_wege3
2019-07-19,14.85,22.57,28.55,8.67,11.12
2019-07-22,14.77,22.81,28.95,8.78,11.02
2019-07-23,14.8,22.82,28.97,8.84,11.02
2019-07-24,14.74,23.24,29.07,8.86,11.22
2019-07-25,16.0,22.09,28.21,8.61,11.12
2019-07-26,16.25,21.74,28.54,8.55,11.4
2019-07-29,16.83,21.74,28.56,8.49,11.55
2019-07-30,16.7,21.36,27.87,8.55,11.75
2019-07-31,16.52,20.63,27.44,8.23,11.66
2019-08-01,16.76,20.46,27.54,8.06,11.47
2019-08-02,16.82,20.41,27.51,7.93,11.63
2019-08-05,16.55,19.98,27.24,7.8,11.41
2019-08-06,16.81,20.48,28.1,8.09,11.7
2019-08-07,16.94,20.77,29.2,8.33,11.9
2019-08-08,16.56,20.89,29.21,8.49,11.97
2019-08-09,16.48,20.45,29.21,8.46,11.84
2019-08-12,15.99,19.98,28.15,8.29,11.63
2019-08-13,15.91,20.22,28.42,8.15,11.89
2019-08-14,15.61,19.68,27.91,8.19,11.31
2019-08-15,15.42,19.58,27.72,8.23,10.94
2019-08-16,15.51,19.64,27.83,8.28,11.17
2019-08-19,15.69,19.31,27.72,8.14,11.04
2019-08-20,15.55,19.11,27.49,8.05,11.07
2019-08-21,15.43,19.58,27.86,8.17,11.29
2019-08-22,15.16,19.18,27.47,8.06,11.13
2019-08-23,15.05,18.68,27.23,7.98,10.88
2019-08-26,14.85,18.6,27.11,7.98,10.55
2019-08-27,14.92,18.83,27.35,8.05,10.62
2019-08-28,14.9,18.73,27.57,8.16,10.82
2019-08-29,15.23,19.33,27.78,8.24,10.97
2019-08-30,15.37,20.11,28.19,8.32,11.02
2019-09-02,15.09,19.66,27.65,8.27,11.16
2019-09-03,15.2,19.24,27.25,8.15,10.87
2019-09-04,15.43,19.53,27.24,8.25,11.08
2019-09-05,15.34,20.01,28.11,8.45,11.16
2019-09-06,15.37,20.78,28.94,8.63,11.18
2019-09-09,15.49,21.06,29.42,8.73,11.06
2019-09-10,15.45,20.92,29.14,8.63,11.23
2019-09-11,15.52,20.98,29.05,8.71,11.3
2019-09-12,15.9,20.81,28.98,8.79,11.29
2019-09-13,15.68,20.57,29.24,8.83,11.62
2019-09-16,15.72,20.39,28.59,8.72,11.38
2019-09-17,15.95,20.63,28.89,8.83,11.65
2019-09-18,15.81,20.78,28.99,8.84,11.75
2019-09-19,15.88,20.5,28.11,8.78,11.6
2019-09-20,15.92,21.18,28.43,8.69,11.95
2019-09-23,15.93,21.01,28.34,8.79,11.87
2019-09-24,15.88,20.78,28.05,8.74,11.71
2019-09-25,16.09,20.98,28.19,8.75,11.89
2019-09-26,16.03,21.16,28.82,8.94,11.89
2019-09-27,15.97,21.14,28.8,8.93,11.84
2019-09-30,15.8,20.75,28.41,8.87,11.89
2019-10-01,15.85,20.57,27.96,8.73,11.89
2019-10-02,15.48,19.78,27.33,8.46,11.69
2019-10-03,15.25,19.81,27.17,8.49,11.62
2019-10-04,15.77,19.89,27.4,8.41,11.58
2019-10-07,15.49,19.58,26.69,8.2,11.21
2019-10-08,15.27,19.66,26.5,8.23,11.19
2019-10-09,15.33,20.44,26.89,8.31,11.22
2019-10-10,15.12,20.56,27.13,8.46,11.27
2019-10-11,15.25,20.86,27.6,8.69,11.61
2019-10-14,15.37,21.17,27.87,8.84,11.65
2019-10-15,15.51,21.37,28.02,8.76,11.66
2019-10-16,15.51,22.03,28.22,9.09,11.95
2019-10-17,15.41,21.72,28.08,9.11,11.89
2019-10-18,15.33,21.51,27.99,8.9,11.95
2019-10-21,15.59,21.85,28.38,9.01,11.99
2019-10-22,15.41,22.42,28.79,9.2,12.14
2019-10-23,15.33,22.66,29.22,9.23,12.67
2019-10-24,15.75,22.62,29.41,9.18,12.8
2019-10-25,14.45,22.79,29.5,9.3,12.46
2019-10-28,14.4,23.47,30.05,9.33,12.55
2019-10-29,14.43,23.21,29.6,9.27,12.52
2019-10-30,14.41,23.44,29.78,9.36,12.68
2019-10-31,14.27,22.48,29.41,9.23,12.51
2019-11-01,14.23,22.23,29.45,9.23,12.69
2019-11-04,14.42,22.35,29.58,9.33,12.82
2019-11-05,14.54,22.72,29.96,9.38,13.12
2019-11-06,14.38,22.41,29.96,9.34,13.33
2019-11-07,14.41,22.61,30.11,9.4,13.78
2019-11-08,14.2,21.93,29.61,9.2,13.85
2019-11-11,14.4,22.03,29.82,9.25,14.27
2019-11-12,14.26,21.72,29.19,9.15,13.98
2019-11-13,14.26,21.63,29.07,9.08,14.33
2019-11-14,14.32,21.49,29.16,9.16,14.35
2019-11-18,14.41,21.33,29.09,9.15,14.37
2019-11-19,14.51,21.29,28.61,8.97,14.32
2019-11-21,14.83,21.54,29.04,9.09,14.17
2019-11-22,14.93,21.9,29.01,9.16,14.25
2019-11-25,14.94,21.59,28.74,9.01,14.27
2019-11-26,14.8,20.91,28.31,8.76,14.04
2019-11-27,14.74,21.2,28.51,8.91,14.25
2019-11-28,14.78,21.18,28.19,8.9,14.44
2019-11-29,14.82,21.4,28.29,8.89,14.92
2019-12-02,14.75,21.61,28.63,9.03,14.79
2019-12-03,14.67,21.5,28.7,8.96,15.06
2019-12-04,15.02,21.99,29.5,9.14,15.61
2019-12-05,14.9,22.14,29.57,9.16,16.07
2019-12-06,15.15,22.13,29.24,9.06,16.06
2019-12-09,15.14,21.94,29.54,9.23,15.65
2019-12-10,15.08,21.86,29.35,9.23,15.68
2019-12-11,15.15,21.82,29.15,9.16,16.22
2019-12-12,15.35,22.08,29.22,9.29,16.58
2019-12-13,15.61,22.28,29.86,9.27,16.7
2019-12-16,15.66,21.94,29.34,9.18,16.43
2019-12-17,15.52,22.29,29.73,9.31,16.66
2019-12-18,15.67,23.15,29.83,9.46,16.63
2019-12-19,15.74,23.5,29.92,9.37,16.48
2019-12-20,15.93,23.16,29.67,9.36,16.62
2019-12-23,15.97,23.63,30.06,9.4,16.59
2019-12-26,16.19,23.88,30.51,9.45,17.11
2019-12-27,16.14,23.73,30.4,9.43,17.35
2019-12-30,15.73,23.69,30.28,9.4,17.02
2020-01-02,16.18,24.64,30.83,9.51,17.31
2020-01-03,15.95,24.25,30.58,9.53,17.08
2020-01-06,16.02,24.11,30.26,9.43,17.13
2020-01-07,16.06,23.7,29.68,9.34,17.26
2020-01-08,15.98,23.34,29.37,9.22,16.61
2020-01-09,15.86,23.11,29.1,9.09,16.36
2020-01-10,15.91,22.71,28.75,9.05,16.7
2020-01-13,16.18,22.99,29.16,9.17,16.85
2020-01-14,16.09,23.04,29.01,9.2,17.19
2020-01-15,15.8,22.51,28.6,9.07,17.3
2020-01-16,15.75,22.88,28.65,9.06,17.61
2020-01-17,15.75,23.36,29.1,9.15,18.07
2020-01-20,15.84,23.0,28.59,9.07,18.63
2020-01-21,15.79,22.2,27.9,8.9,18.41
2020-01-22,16.05,22.38,28.35,9.03,19.1
2020-01-23,15.71,22.99,28.96,9.19,19.47
2020-01-24,16.0,22.86,28.6,9.11,20.35
2020-01-27,15.63,22.26,28.25,8.9,20.12
2020-01-28,15.84,22.31,28.0,8.93,20.63
2020-01-29,15.42,21.84,27.76,8.91,20.82
2020-01-30,15.45,22.05,28.14,9.03,20.12
2020-01-31,15.04,21.81,27.84,8.78,19.35
2020-02-03,14.82,21.97,27.99,8.84,19.97
2020-02-04,14.87,22.05,28.18,8.85,19.9
2020-02-05,14.53,22.45,28.22,8.86,20.32
2020-02-06,14.21,22.14,28.09,8.8,21.04
2020-02-07,14.25,22.07,28.17,8.77,20.18
2020-02-10,14.09,22.19,28.43,8.87,20.39
2020-02-11,14.15,22.79,29.63,9.0,21.14
2020-02-12,14.03,22.46,29.78,9.07,21.88
2020-02-13,13.71,21.94,29.25,9.06,22.38
2020-02-14,13.82,21.34,28.87,8.97,22.38
2020-02-17,13.98,21.23,28.72,8.95,22.48
2020-02-18,13.63,21.11,28.69,9.07,21.95
2020-02-19,13.59,21.23,28.97,9.29,23.97
2020-02-20,13.62,20.75,28.94,9.15,23.32
2020-02-21,13.69,20.48,28.75,9.09,24.46
2020-02-26,13.33,18.98,27.58,8.74,23.07
2020-02-27,12.22,18.58,27.56,8.68,21.67
2020-02-28,12.25,19.03,27.99,8.81,21.26
2020-03-02,12.4,19.25,28.0,9.01,23.15
2020-03-03,12.42,18.94,27.71,8.84,23.61
2020-03-04,12.9,19.09,28.0,8.95,23.88
2020-03-05,12.83,18.52,27.53,8.9,23.01
2020-03-06,12.91,17.94,26.64,8.73,21.69
2020-03-09,12.36,16.18,25.45,8.38,19.59
2020-03-10,12.15,16.65,26.08,8.62,20.65
2020-03-11,11.58,15.33,24.77,8.1,19.31
2020-03-12,9.76,13.37,22.27,7.47,16.26
2020-03-13,10.7,15.56,24.73,7.69,17.01
2020-03-16,9.29,13.33,22.27,7.61,13.51
2020-03-17,9.85,14.18,23.29,7.55,14.13
2020-03-18,9.43,13.03,21.3,7.4,13.04
2020-03-19,9.86,12.58,21.73,7.11,14.16
2020-03-20,10.15,13.04,20.66,6.89,15.95
2020-03-23,9.7,12.03,19.28,6.43,17.36
2020-03-24,9.51,13.73,20.1,6.75,17.78
2020-03-25,9.81,14.82,21.19,6.8,18.43
2020-03-26,10.78,15.34,22.54,6.79,18.72
2020-03-27,10.52,14.45,21.7,6.85,17.44
2020-03-30,10.57,14.77,22.35,7.02,16.78
2020-03-31,10.04,14.44,21.61,6.89,16.56
2020-04-01,9.85,13.81,20.34,6.7,15.99
2020-04-02,10.1,14.13,20.51,6.81,16.82
2020-04-03,9.6,13.57,19.58,6.58,16.22
2020-04-06,9.99,14.95,20.58,6.96,16.41
2020-04-07,10.45,15.78,21.75,7.13,18.4
2020-04-08,10.37,16.06,22.49,7.48,19.72
2020-04-09,10.19,15.89,22.29,7.42,18.89
2020-04-13,10.19,16.32,22.33,7.56,19.36
2020-04-14,10.19,16.71,22.36,7.57,19.19
2020-04-15,10.03,16.06,21.81,7.49,18.74
2020-04-16,9.65,15.74,21.55,7.53,18.75
2020-04-17,9.77,15.95,21.68,7.38,18.97
2020-04-20,9.78,15.57,21.58,7.33,19.28
2020-04-22,9.79,15.57,21.35,7.33,20.18
2020-04-23,9.73,15.12,20.81,7.25,19.53
2020-04-24,9.36,13.46,20.07,6.82,19.09
2020-04-27,9.78,13.9,20.31,7.09,20.02
2020-04-28,9.86,15.27,22.02,7.44,20.51
2020-04-29,9.83,15.86,22.26,7.69,20.42
2020-04-30,9.55,14.84,21.55,7.37,19.7
2020-05-04,9.91,14.27,20.68,7.11,19.65
2020-05-05,10.06,14.25,21.37,7.16,19.24
2020-05-06,9.97,13.92,21.08,7.09,19.15
2020-05-07,9.72,13.47,20.39,6.9,19.28
2020-05-08,10.14,14.07,20.92,7.06,18.86
2020-05-11,10.06,13.82,21.28,6.97,19.15
2020-05-12,9.87,13.38,20.49,6.7,18.49
2020-05-13,9.49,13.28,20.44,6.92,18.74
2020-05-14,9.89,13.86,21.07,6.95,18.42
2020-05-15,9.81,13.37,20.24,6.65,17.96
2020-05-18,10.19,14.01,20.96,6.93,18.06
2020-05-19,10.06,13.53,20.21,6.75,18.21
2020-05-20,10.23,13.79,20.34,6.79,18.56
2020-05-21,10.01,14.63,21.09,7.06,18.47
2020-05-22,9.89,14.4,21.21,7.26,18.37
2020-05-25,10.34,15.55,22.23,7.46,18.76
2020-05-26,10.56,14.85,21.47,7.25,19.93
2020-05-27,11.27,15.08,22.29,7.31,20.01
2020-05-28,10.8,14.95,21.78,7.24,20.06
2020-05-29,10.51,15.06,21.51,7.22,20.63
2020-06-01,10.61,15.54,22.12,7.42,20.79
2020-06-02,10.93,16.13,23.29,7.68,20.92
2020-06-03,11.16,16.86,24.03,7.91,21.01
2020-06-04,11.27,16.93,24.72,7.98,21.6
2020-06-05,11.84,17.31,25.24,7.98,21.86
2020-06-08,12.3,18.14,25.81,8.17,22.59
2020-06-09,12.06,17.96,25.54,8.18,22.59
2020-06-10,11.76,17.24,24.63,7.98,22.19
2020-06-12,11.43,16.84,24.0,7.77,21.82
2020-06-15,11.31,16.55,23.35,7.63,21.83
2020-06-16,11.17,17.09,23.84,7.72,22.08
2020-06-17,11.6,17.32,24.05,7.9,22.77
2020-06-18,11.52,17.31,24.67,8.01,22.75
2020-06-19,11.66,16.93,25.89,7.91,22.79
2020-06-22,11.89,16.63,24.83,7.91,22.49
2020-06-23,11.74,16.64,24.61,7.91,22.75
2020-06-24,11.52,16.27,24.08,7.77,22.71
2020-06-25,11.95,16.62,24.22,7.83,24.27
2020-06-26,11.75,16.15,23.65,7.67,24.66
2020-06-29,12.01,16.56,24.26,7.74,24.64
2020-06-30,11.91,16.05,23.54,7.6,24.98
2020-07-01,12.1,16.32,23.86,7.74,25.54
2020-07-02,11.94,16.47,24.12,7.9,26.02
2020-07-03,11.91,16.47,24.09,7.97,26.22
2020-07-06,12.1,17.57,24.89,8.1,25.84
2020-07-07,12.17,16.85,24.3,7.94,26.18
2020-07-08,12.39,17.42,24.69,8.05,26.37
2020-07-09,12.33,17.2,24.67,8.05,26.45
2020-07-10,12.51,17.33,24.8,8.04,26.56
2020-07-13,11.79,16.98,24.52,7.98,26.68
2020-07-14,11.72,17.22,24.74,7.99,26.22
2020-07-15,12.04,17.58,24.89,8.01,26.39
2020-07-16,11.84,17.29,24.53,7.99,26.49
2020-07-17,11.93,17.62,24.63,8.08,28.21
2020-07-20,11.9,17.84,24.88,8.13,29.22
2020-07-21,12.37,18.14,25.12,8.24,29.08
2020-07-22,12.39,17.92,24.83,8.32,33.12
2020-07-23,12.13,17.69,24.41,8.21,32.53
2020-07-24,12.58,17.56,24.29,8.21,32.4
2020-07-27,12.87,18.29,25.18,8.43,34.03
2020-07-28,12.71,18.15,25.15,8.4,32.69
2020-07-29,12.76,18.69,25.61,8.66,32.59
2020-07-30,12.26,18.22,25.28,8.59,33.09
2020-07-31,11.71,17.57,24.44,8.43,32.77
2020-08-03,11.55,17.5,24.75,8.4,32.39
2020-08-04,11.29,16.98,23.66,8.12,32.5
2020-08-05,11.1,17.08,18.45,8.22,33.18
2020-08-06,11.17,15.48,18.75,8.3,33.98
2020-08-07,11.21,15.38,18.41,8.24,33.31
2020-08-10,11.15,15.51,18.62,8.35,33.57
2020-08-11,11.3,15.31,18.48,8.24,32.78
2020-08-12,11.36,15.23,18.41,8.17,33.09
2020-08-13,11.13,14.79,17.91,8.1,33.52
2020-08-14,11.17,14.91,17.91,8.14,33.66
2020-08-17,10.83,14.51,17.55,8.05,33.07
2020-08-18,11.02,14.72,17.77,8.13,32.94
2020-08-19,10.83,14.67,17.71,7.95,32.05
2020-08-20,10.85,14.57,17.66,7.85,32.71
2020-08-21,10.93,14.64,17.69,7.73,32.89
2020-08-24,10.83,14.86,17.93,7.77,32.34
2020-08-25,10.74,14.86,17.86,7.67,33.23
2020-08-26,10.7,14.52,17.47,7.46,32.32
2020-08-27,10.68,14.83,17.64,7.52,32.25
2020-08-28,10.74,15.11,17.82,7.6,32.69
2020-08-31,10.37,14.42,17.31,7.49,31.44
2020-09-01,10.66,14.87,17.78,7.45,32.57
2020-09-02,10.75,14.87,17.71,7.4,32.51
2020-09-03,10.61,15.44,17.94,7.49,31.35
2020-09-04,10.61,15.42,18.24,7.52,31.38
2020-09-08,10.4,15.12,17.84,7.51,30.65
2020-09-09,10.4,15.16,17.74,7.59,31.59
2020-09-10,10.37,14.65,17.44,7.42,30.37
2020-09-11,10.14,14.32,17.2,7.35,30.21
2020-09-14,10.59,14.54,17.43,7.41,30.81
2020-09-15,10.86,14.35,17.25,7.37,31.18
2020-09-16,10.58,14.44,17.13,7.33,30.62
2020-09-17,11.09,14.5,17.14,7.41,30.57
2020-09-18,10.78,14.24,16.9,7.19,30.16
2020-09-21,10.72,13.99,16.79,7.22,30.85
2020-09-22,10.78,14.13,16.84,7.15,31.44
2020-09-23,10.48,13.76,16.52,7.0,30.41
2020-09-24,10.67,13.98,16.76,7.23,31.38
2020-09-25,10.82,13.95,16.72,7.28,31.26
2020-09-28,10.51,13.82,16.71,7.11,30.62
2020-09-29,10.4,13.57,16.37,7.0,31.61
2020-09-30,10.56,13.67,16.41,7.07,31.98
2020-10-01,10.7,13.69,16.49,7.11,32.57
2020-10-02,10.56,13.76,16.53,7.18,32.64
2020-10-05,10.79,14.06,16.57,7.12,34.17
2020-10-06,11.24,13.98,16.52,7.12,34.8
2020-10-07,11.4,13.8,16.46,7.12,35.62
2020-10-08,11.52,14.58,17.29,7.43,36.6
2020-10-09,11.43,14.55,17.23,7.34,37.44
2020-10-13,11.58,14.56,17.18,7.41,38.53
2020-10-14,11.63,14.59,17.05,7.36,39.23
2020-10-15,11.32,14.56,16.94,7.38,39.32
2020-10-16,11.18,14.17,16.66,7.24,39.94
2020-10-19,11.08,14.34,16.79,7.32,39.95
2020-10-20,11.27,14.88,17.35,7.47,40.67
2020-10-21,11.26,15.01,17.46,7.65,38.17
2020-10-22,11.43,15.52,18.17,7.56,39.97
